Index,Timestamp_US,RSSI,Smoothed_RSSI
667,66159659,-50,-50
668,66159759,-50,-50
669,66159859,-50,-50
670,66159959,-50,-50
671,66160059,-50,-50
672,66160159,-50,-50
673,66160259,-50,-50
674,66160359,-50,-50
675,66160459,-50,-50
676,66160559,-50,-50
677,66160659,-50,-50
678,66160759,-50,-50
679,66160859,-50,-50
680,66160959,-50,-50
681,66161059,-50,-50
682,66161159,-50,-50
683,66161259,-50,-50
684,66161359,-50,-50
685,66161459,-50,-50
686,66161559,-50,-50
687,66161659,-50,-50
688,66161759,-50,-50
689,66161859,-50,-50
690,66161959,-50,-50
691,66162059,-50,-50
692,66162159,-50,-50
693,66162259,-50,-50
694,66162359,-50,-50
695,66162459,-50,-50
696,66162559,-50,-50
697,66162659,-50,-50
698,66162759,-50,-50
699,66162859,-50,-50
700,66162959,-50,-50
701,66163059,-50,-50
702,66163159,-50,-50
703,66163259,-50,-50
704,66163359,-50,-50
705,66163459,-50,-50
706,66163559,-50,-50
707,66163659,-50,-50
708,66163759,-50,-50
709,66163859,-50,-50
710,66163959,-50,-50
711,66164059,-50,-50
712,66164159,-50,-50
713,66164259,-50,-50
714,66164359,-50,-50
715,66164459,-50,-50
716,66164559,-50,-50
717,66164659,-50,-50
718,66164759,-50,-50
719,66164859,-50,-50
720,66164959,-50,-50
721,66165059,-50,-50
722,66165159,-50,-50
723,66165259,-50,-50
724,66165359,-50,-50
725,66165459,-50,-50
726,66165559,-50,-50
727,66165659,-50,-50
728,66165759,-50,-50
729,66165859,-50,-50
730,66165959,-50,-50
731,66166059,-50,-50
732,66166159,-50,-50
733,66166259,-50,-50
734,66166359,-50,-50
735,66166459,-50,-50
736,66166559,-50,-50
737,66166659,-50,-50
738,66166759,-50,-50
739,66166859,-50,-50
740,66166959,-50,-50
741,66167059,-50,-50
742,66167159,-50,-50
743,66167259,-50,-50
744,66167359,-50,-50
745,66167459,-50,-50
746,66167559,-50,-50
747,66167659,-50,-50
748,66167759,-50,-50
749,66167859,-50,-50
750,66167959,-50,-50
751,66168059,-50,-50
752,66168159,-50,-50
753,66168259,-50,-50
754,66168359,-50,-50
755,66168459,-50,-50
756,66168559,-50,-50
757,66168659,-50,-50
758,66168759,-50,-50
759,66168859,-50,-50
760,66168959,-50,-50
761,66169059,-50,-50
762,66169159,-50,-50
763,66169259,-50,-50
764,66169359,-50,-50
765,66169459,-50,-50
766,66169559,-50,-50
767,66169659,-50,-50
768,66169759,-50,-50
769,66169859,-50,-50
