Index,Timestamp_US,RSSI,Smoothed_RSSI
834,36653284,-47,-46
835,36653384,-47,-46
836,36653484,-47,-46
837,36653584,-47,-46
838,36653684,-47,-46
839,36653784,-47,-46
840,36653884,-47,-46
841,36653984,-47,-46
842,36654084,-47,-47
843,36654184,-47,-47
844,36654284,-47,-47
845,36654384,-47,-47
846,36654484,-47,-47
847,36654584,-47,-47
848,36654684,-47,-47
849,36654784,-47,-47
850,36654884,-47,-47
851,36654984,-47,-47
852,36655084,-47,-47
853,36655184,-47,-47
854,36655284,-47,-47
855,36655384,-47,-47
856,36655484,-47,-47
857,36655584,-47,-47
858,36655684,-47,-47
859,36655784,-47,-47
860,36655884,-47,-47
861,36655984,-47,-47
862,36656084,-47,-47
863,36656184,-47,-47
864,36656284,-47,-47
865,36656384,-47,-47
866,36656484,-47,-47
867,36656584,-47,-47
868,36656684,-47,-47
869,36656784,-47,-47
870,36656884,-47,-47
871,36656984,-47,-47
872,36657084,-47,-47
873,36657184,-47,-47
874,36657284,-47,-47
875,36657384,-47,-47
876,36657484,-47,-47
877,36657584,-47,-47
878,36657684,-47,-47
879,36657784,-47,-47
880,36657884,-47,-47
881,36657984,-47,-47
882,36658084,-47,-47
883,36658184,-47,-47
884,36658284,-47,-47
885,36658384,-47,-47
886,36658484,-47,-47
887,36658584,-47,-47
888,36658684,-47,-47
889,36658784,-47,-47
890,36658884,-47,-47
891,36658984,-47,-47
892,36659084,-47,-47
893,36659184,-47,-47
894,36659284,-47,-47
895,36659384,-47,-47
896,36659484,-47,-47
897,36659584,-47,-47
898,36659684,-47,-47
899,36659784,-47,-47
900,36659884,-47,-47
901,36659984,-47,-47
902,36660084,-47,-47
903,36660184,-47,-47
904,36660284,-47,-47
905,36660384,-47,-47
906,36660484,-47,-47
907,36660584,-47,-47
908,36660684,-47,-47
909,36660784,-47,-47
910,36660884,-47,-47
911,36660984,-47,-47
912,36661084,-47,-47
913,36661184,-47,-47
914,36661284,-47,-47
915,36661384,-47,-47
916,36661484,-47,-47
917,36661584,-47,-47
918,36661684,-47,-47
919,36661784,-47,-47
920,36661884,-47,-47
921,36661984,-47,-47
922,36662084,-47,-47
923,36662184,-47,-47
924,36662284,-47,-47
925,36662384,-47,-47
926,36662484,-47,-47
927,36662584,-47,-47
928,36662684,-47,-47
929,36662784,-47,-47
930,36662884,-47,-47
931,36662984,-47,-47
932,36663084,-47,-47
933,36663184,-47,-47
934,36663284,-47,-47
935,36663384,-47,-47
936,36663484,-47,-47
937,36663584,-47,-47
938,36663684,-47,-47
939,36663784,-47,-47
940,36663884,-47,-47
941,36663984,-47,-47
942,36664084,-47,-47
943,36664184,-47,-47
944,36664284,-47,-47
945,36664384,-47,-47
946,36664484,-47,-47
947,36664584,-47,-47
948,36664684,-47,-47
949,36664784,-47,-47
950,36664884,-47,-47
951,36664984,-47,-47
952,36665084,-47,-47
953,36665184,-47,-47
954,36665284,-47,-47
955,36665384,-47,-47
956,36665484,-47,-47
957,36665584,-47,-47
958,36665684,-47,-47
959,36665784,-47,-47
960,36665884,-47,-47
961,36665984,-47,-47
962,36666084,-47,-47
963,36666184,-47,-47
964,36666284,-47,-47
965,36666384,-47,-47
966,36666484,-47,-47
967,36666584,-47,-47
968,36666684,-47,-47
969,36666784,-46,-46
970,36666884,-46,-46
971,36666984,-47,-46
972,36667084,-47,-46
973,36667184,-47,-46
974,36667284,-47,-46
975,36667384,-47,-46
976,36667484,-47,-46
977,36667584,-47,-46
978,36667684,-47,-46
979,36667784,-47,-46
980,36667884,-47,-46
981,36667984,-47,-46
982,36668084,-47,-46
983,36668184,-47,-46
984,36668284,-47,-46
985,36668384,-47,-46
986,36668484,-47,-46
987,36668584,-47,-46
988,36668684,-47,-46
989,36668784,-47,-46
990,36668884,-47,-47
991,36668984,-47,-47
992,36669084,-47,-47
993,36669184,-47,-47
994,36669284,-47,-47
995,36669384,-47,-47
996,36669484,-47,-47
997,36669584,-47,-47
998,36669684,-47,-47
999,36669784,-47,-47
1000,36669884,-47,-47
1001,36669984,-47,-47
1002,36670084,-47,-47
1003,36670184,-46,-46
1004,36670284,-47,-46
1005,36670384,-47,-46
1006,36670484,-47,-46
1007,36670584,-47,-46
1008,36670684,-46,-46
1009,36670784,-46,-46
1010,36670884,-46,-46
1011,36670984,-46,-46
1012,36671084,-46,-46
1013,36671184,-46,-46
1014,36671284,-46,-46
1015,36671384,-46,-46
1016,36671484,-46,-46
1017,36671584,-46,-46
1018,36671684,-46,-46
1019,36671784,-47,-46
1020,36671884,-47,-46
1021,36671984,-47,-46
1022,36672084,-47,-46
1023,36672184,-47,-46
1024,36672284,-47,-46
1025,36672384,-47,-46
1026,36672484,-47,-46
1027,36672584,-47,-46
1028,36672684,-47,-46
1029,36672784,-47,-46
1030,36672884,-47,-46
1031,36672984,-47,-46
1032,36673084,-47,-46
1033,36673184,-47,-46
1034,36673284,-47,-46
1035,36673384,-47,-46
1036,36673484,-47,-46
1037,36673584,-47,-46
1038,36673684,-47,-47
1039,36673784,-47,-47
1040,36673884,-47,-47
1041,36673984,-47,-47
1042,36674084,-47,-47
1043,36674184,-47,-47
1044,36674284,-47,-47
1045,36674384,-47,-47
1046,36674484,-47,-47
1047,36674584,-47,-47
1048,36674684,-47,-47
1049,36674784,-47,-47
1050,36674884,-47,-47
1051,36674984,-47,-47
1052,36675084,-47,-47
1053,36675184,-47,-47
1054,36675284,-47,-47
1055,36675384,-47,-47
1056,36675484,-47,-47
1057,36675584,-47,-47
1058,36675684,-47,-47
1059,36675784,-47,-47
1060,36675884,-47,-47
1061,36675984,-47,-47
1062,36676084,-47,-47
1063,36676184,-47,-47
1064,36676284,-47,-47
1065,36676384,-47,-47
1066,36676484,-47,-47
1067,36676584,-47,-47
1068,36676684,-47,-47
1069,36676784,-46,-46
1070,36676884,-46,-46
1071,36676984,-46,-46
1072,36677084,-46,-46
1073,36677184,-46,-46
1074,36677284,-46,-46
1075,36677384,-46,-46
1076,36677484,-46,-46
1077,36677584,-46,-46
1078,36677684,-46,-46
1079,36677784,-46,-46
1080,36677884,-46,-46
1081,36677984,-46,-46
1082,36678084,-46,-46
1083,36678184,-46,-46
1084,36678284,-46,-46
1085,36678384,-46,-46
1086,36678484,-46,-46
1087,36678584,-46,-46
1088,36678684,-46,-46
1089,36678784,-46,-46
1090,36678884,-46,-46
1091,36678984,-47,-46
1092,36679084,-47,-46
1093,36679184,-47,-46
1094,36679284,-47,-46
1095,36679384,-47,-46
1096,36679484,-47,-46
1097,36679584,-47,-46
1098,36679684,-47,-46
1099,36679784,-47,-46
1100,36679884,-47,-46
1101,36679984,-47,-46
1102,36680084,-47,-46
1103,36680184,-47,-46
1104,36680284,-47,-46
1105,36680384,-47,-46
1106,36680484,-47,-46
1107,36680584,-47,-46
1108,36680684,-47,-46
1109,36680784,-47,-46
1110,36680884,-47,-47
1111,36680984,-47,-47
1112,36681084,-47,-47
1113,36681184,-47,-47
1114,36681284,-47,-47
1115,36681384,-47,-47
1116,36681484,-47,-47
1117,36681584,-47,-47
1118,36681684,-47,-47
1119,36681784,-47,-47
1120,36681884,-47,-47
1121,36681984,-46,-46
1122,36682084,-46,-46
1123,36682184,-46,-46
1124,36682284,-46,-46
1125,36682384,-46,-46
1126,36682484,-46,-46
1127,36682584,-46,-46
1128,36682684,-46,-46
1129,36682784,-46,-46
1130,36682884,-46,-46
1131,36682984,-46,-46
1132,36683084,-46,-46
1133,36683184,-46,-46
1134,36683284,-46,-46
1135,36683384,-46,-46
1136,36683484,-46,-46
1137,36683584,-46,-46
1138,36683684,-46,-46
1139,36683784,-46,-46
1140,36683884,-46,-46
1141,36683984,-46,-46
1142,36684084,-47,-46
1143,36684184,-47,-46
1144,36684284,-47,-46
